動詞,自立,*,*,五段・サ行,未然形,滅ぼす,ホロボサ,ホロボサ	殺さ
動詞,自立,*,*,五段・ラ行,未然形,焦る,アセラ,アセラ	急が
名詞,一般,*,*,*,*,作物,サクモツ,サクモツ	植物
名詞,一般,*,*,*,*,リムジン,リムジン,リムジン	車
動詞,自立,*,*,一段,連用形,書き留める,カキトメ,カキトメ	書い
動詞,自立,*,*,五段・ラ行,連用形,泊まる,トマリ,トマリ	居
名詞,一般,*,*,*,*,風向き,カザムキ,カザムキ	状況
動詞,自立,*,*,五段・ラ行,基本形,おこる,オコル,オコル	起こる
動詞,自立,*,*,五段・ラ行,連用タ接続,仕上がる,シアガッ,シアガッ	でき
動詞,自立,*,*,五段・ラ行,連用タ接続,言い寄る,イイヨッ,イーヨッ	近づい
動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ	異なる
動詞,自立,*,*,一段,連用形,出来る,デキ,デキ	でき
感動詞,*,*,*,*,*,さよなら,サヨナラ,サヨナラ	さようなら
名詞,一般,*,*,*,*,食糧,ショクリョウ,ショクリョー	食べ物
名詞,一般,*,*,*,*,電車,デンシャ,デンシャ	列車
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,かう,カッ,カッ	買っ
名詞,形容動詞語幹,*,*,*,*,無作法,ブサホウ,ブサホー	ダメ
形容詞,自立,*,*,形容詞・アウオ段,基本形,情けない,ナサケナイ,ナサケナイ	悲しい
動詞,自立,*,*,五段・ラ行,基本形,贈る,オクル,オクル	あげる
動詞,自立,*,*,サ変・−ズル,基本形,信ずる,シンズル,シンズル	信じる
動詞,自立,*,*,一段,仮定形,出来る,デキレ,デキレ	できれ
名詞,サ変接続,*,*,*,*,交替,コウタイ,コータイ	順番
名詞,サ変接続,*,*,*,*,勤務,キンム,キンム	仕事
名詞,一般,*,*,*,*,問い,トイ,トイ	質問
動詞,自立,*,*,一段,未然形,出来る,デキ,デキ	でき
動詞,自立,*,*,五段・ラ行,命令ｅ,成る,ナレ,ナレ	なれ
名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ	年
動詞,自立,*,*,五段・カ行イ音便,基本形,きづく,キヅク,キズク	気づく
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,おもう,オモッ,オモッ	思っ
名詞,サ変接続,*,*,*,*,ごちそう,ゴチソウ,ゴチソー	食事
動詞,自立,*,*,五段・ラ行,連用タ接続,振り返る,フリカエッ,フリカエッ	見
動詞,自立,*,*,一段,連用形,立てかける,タテカケ,タテカケ	立て
動詞,自立,*,*,一段,基本形,打ち上げる,ウチアゲル,ウチアゲル	上げる
動詞,自立,*,*,五段・ワ行促音便,連用形,おもう,オモイ,オモイ	思い
接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ	お
動詞,自立,*,*,五段・サ行,連用形,探り出す,サグリダシ,サグリダシ	見つけ
名詞,一般,*,*,*,*,ほん,ホン,ホン	本
動詞,自立,*,*,五段・ラ行,未然形,いびる,イビラ,イビラ	いじめ
名詞,サ変接続,*,*,*,*,集会,シュウカイ,シューカイ	会
動詞,自立,*,*,五段・カ行イ音便,未然形,きく,キカ,キカ	聞か
形容詞,自立,*,*,形容詞・アウオ段,基本形,無い,ナイ,ナイ	ない
名詞,一般,*,*,*,*,スケジュール,スケジュール,スケジュール	計画
動詞,自立,*,*,五段・ワ行促音便,連用形,違う,チガイ,チガイ	異なり
動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,らっしゃる,ラッシャイ,ラッシャイ	来い
副詞,助詞類接続,*,*,*,*,終生,シュウセイ,シューセイ	ずっと
名詞,一般,*,*,*,*,明るみ,アカルミ,アカルミ	表
名詞,形容動詞語幹,*,*,*,*,無駄,ムダ,ムダ	無意味
名詞,一般,*,*,*,*,木蔭,コカゲ,コカゲ	木の下
名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ	女
副詞,一般,*,*,*,*,じろじろ,ジロジロ,ジロジロ	ずっと
動詞,自立,*,*,一段,連用形,あきらめる,アキラメ,アキラメ	やめ
動詞,自立,*,*,五段・ラ行,連用形,こまる,コマリ,コマリ	困り
動詞,自立,*,*,一段,基本形,取れる,トレル,トレル	できる
動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ	開か
名詞,一般,*,*,*,*,頭取,トウドリ,トードリ	頭
動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,あう,アッ,アッ	合っ
名詞,サ変接続,*,*,*,*,結論,ケツロン,ケツロン	答え
名詞,一般,*,*,*,*,男性,ダンセイ,ダンセイ	男
名詞,一般,*,*,*,*,クイズ,クイズ,クイズ	質問
動詞,自立,*,*,五段・ワ行促音便,基本形,すう,スウ,スウ	吸う
動詞,自立,*,*,五段・サ行,基本形,もらす,モラス,モラス	話す
動詞,自立,*,*,五段・サ行,連用形,課す,カシ,カシ	任せ
動詞,自立,*,*,一段,基本形,出来る,デキル,デキル	できる
動詞,自立,*,*,五段・ラ行,基本形,もどる,モドル,モドル	戻る
動詞,自立,*,*,五段・カ行イ音便,基本形,ひきさく,ヒキサク,ヒキサク	破る
動詞,自立,*,*,五段・ラ行,基本形,見送る,ミオクル,ミオクル	送る
形容詞,自立,*,*,形容詞・アウオ段,基本形,かしこい,カシコイ,カシコイ	賢い
名詞,一般,*,*,*,*,絵画,カイガ,カイガ	絵
名詞,一般,*,*,*,*,ありったけ,アリッタケ,アリッタケ	全て
副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ	ほとんど
形容詞,自立,*,*,形容詞・アウオ段,基本形,ほど遠い,ホドトオイ,ホドトーイ	難しい
形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ	かわいい
名詞,形容動詞語幹,*,*,*,*,キレイ,キレイ,キレイ	きれい
名詞,一般,*,*,*,*,ひざ,ヒザ,ヒザ	膝
名詞,一般,*,*,*,*,見晴らし,ミハラシ,ミハラシ	景色
動詞,自立,*,*,五段・ラ行,基本形,のる,ノル,ノル	乗る
形容詞,自立,*,*,形容詞・アウオ段,ガル接続,きつい,キツ,キツ	小さ
副詞,一般,*,*,*,*,到底,トウテイ,トーテイ	全く
動詞,自立,*,*,五段・バ行,未然形,転ぶ,コロバ,コロバ	倒れ
名詞,一般,*,*,*,*,郊外,コウガイ,コーガイ	周囲
副詞,一般,*,*,*,*,やはり,ヤハリ,ヤハリ	やっぱり
名詞,一般,*,*,*,*,覚え,オボエ,オボエ	記憶
名詞,サ変接続,*,*,*,*,レポート,レポート,レポート	宿題
名詞,一般,*,*,*,*,妨げ,サマタゲ,サマタゲ	邪魔
形容詞,非自立,*,*,形容詞・アウオ段,基本形,良い,ヨイ,ヨイ	よい
形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ	よかっ
名詞,サ変接続,*,*,*,*,拒絶,キョゼツ,キョゼツ	反対
名詞,一般,*,*,*,*,申し分,モウシブン,モーシブン	問題
名詞,一般,*,*,*,*,幾夜,イクヨ,イクヨ	いくつ
動詞,自立,*,*,五段・ラ行,連用タ接続,見送る,ミオクッ,ミオクッ	送っ
名詞,一般,*,*,*,*,国語,コクゴ,コクゴ	日本語
動詞,自立,*,*,五段・バ行,連用タ接続,さけぶ,サケン,サケン	叫ん
動詞,自立,*,*,五段・ラ行,連用タ接続,上る,ノボッ,ノボッ	上がっ
動詞,自立,*,*,一段,未然形,恐れる,オソレ,オソレ	怖がら
動詞,自立,*,*,一段,連用形,なまける,ナマケ,ナマケ	怠け
名詞,一般,*,*,*,*,浴室,ヨクシツ,ヨクシツ	風呂
名詞,接尾,一般,*,*,*,め,メ,メ	目
名詞,一般,*,*,*,*,パパ,パパ,パパ	父さん
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ひっぱたく,ヒッパタイ,ヒッパタイ	叩い
動詞,自立,*,*,一段,基本形,抑える,オサエル,オサエル	止める
名詞,接尾,一般,*,*,*,かた,カタ,カタ	方
名詞,一般,*,*,*,*,アイディア,アイディア,アイディア	考え
名詞,一般,*,*,*,*,気合い,キアイ,キアイ	気持ち
名詞,一般,*,*,*,*,寿命,ジュミョウ,ジュミョー	命
名詞,サ変接続,*,*,*,*,中継,チュウケイ,チューケイ	放送
名詞,サ変接続,*,*,*,*,伝言,デンゴン,デンゴン	言葉
動詞,自立,*,*,五段・カ行イ音便,基本形,たどりつく,タドリツク,タドリツク	行く
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,沿う,ソッ,ソッ	従っ
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,引っ掻く,ヒッカイ,ヒッカイ	引っかい
名詞,一般,*,*,*,*,人類,ジンルイ,ジンルイ	人
動詞,自立,*,*,五段・カ行イ音便,基本形,さく,サク,サク	分ける
名詞,一般,*,*,*,*,年月,トシツキ,トシツキ	時間
名詞,サ変接続,*,*,*,*,推理,スイリ,スイリ	考え
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,違う,チガッ,チガッ	異なっ
名詞,一般,*,*,*,*,同僚,ドウリョウ,ドーリョー	仲間
名詞,一般,*,*,*,*,食物,ショクモツ,ショクモツ	食べ物
名詞,一般,*,*,*,*,ブドウ,ブドウ,ブドー	ぶどう
形容詞,自立,*,*,形容詞・アウオ段,基本形,はやい,ハヤイ,ハヤイ	早い
動詞,自立,*,*,五段・サ行,連用形,吹き返す,フキカエシ,フキカエシ	返し
名詞,一般,*,*,*,*,本人,ホンニン,ホンニン	自身
名詞,一般,*,*,*,*,ほとり,ホトリ,ホトリ	近く
名詞,一般,*,*,*,*,錠剤,ジョウザイ,ジョーザイ	薬
動詞,自立,*,*,五段・サ行,未然形,放りだす,ホウリダサ,ホーリダサ	出さ
副詞,助詞類接続,*,*,*,*,およそ,オヨソ,オヨソ	ほとんど
名詞,サ変接続,*,*,*,*,ドライブ,ドライブ,ドライブ	運転
副詞,助詞類接続,*,*,*,*,なるべく,ナルベク,ナルベク	できるだけ
名詞,一般,*,*,*,*,ふもと,フモト,フモト	近く
名詞,非自立,副詞可能,*,*,*,為,タメ,タメ	ため
動詞,自立,*,*,五段・ラ行,連用形,見送る,ミオクリ,ミオクリ	送り
動詞,自立,*,*,五段・サ行,連用形,みまわす,ミマワシ,ミマワシ	み
動詞,自立,*,*,五段・サ行,連用形,屈す,クッシ,クッシ	負け
名詞,一般,*,*,*,*,家賃,ヤチン,ヤチン	金
名詞,一般,*,*,*,*,未成年,ミセイネン,ミセイネン	子供
副詞,一般,*,*,*,*,既に,スデニ,スデニ	もう
名詞,一般,*,*,*,*,歌詞,カシ,カシ	詩
名詞,一般,*,*,*,*,木陰,コカゲ,コカゲ	木の下
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ	おい
動詞,自立,*,*,一段,連用形,論じる,ロンジ,ロンジ	話し
動詞,自立,*,*,五段・タ行,連用タ接続,まつ,マッ,マッ	待っ
動詞,自立,*,*,一段,連用形,仕立てる,シタテ,シタテ	作り
名詞,一般,*,*,*,*,親,オヤ,オヤ	両親
名詞,一般,*,*,*,*,土手,ドテ,ドテ	そば
名詞,形容動詞語幹,*,*,*,*,厄介,ヤッカイ,ヤッカイ	大変
名詞,形容動詞語幹,*,*,*,*,有利,ユウリ,ユーリ	上
動詞,自立,*,*,五段・ラ行,連用タ接続,さえずる,サエズッ,サエズッ	鳴い
動詞,自立,*,*,五段・ラ行,命令ｅ,見張る,ミハレ,ミハレ	見ろ
名詞,ナイ形容詞語幹,*,*,*,*,頼り,タヨリ,タヨリ	ため
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ささやく,ササヤイ,ササヤイ	話し
形容詞,自立,*,*,形容詞・アウオ段,基本形,ありがたい,アリガタイ,アリガタイ	嬉しい
名詞,形容動詞語幹,*,*,*,*,健在,ケンザイ,ケンザイ	元気
副詞,助詞類接続,*,*,*,*,のんびり,ノンビリ,ノンビリ	ゆっくり
名詞,サ変接続,*,*,*,*,舞踏,ブトウ,ブトー	ダンス
動詞,自立,*,*,一段,連用形,勧める,ススメ,ススメ	言っ
名詞,一般,*,*,*,*,見掛け,ミカケ,ミカケ	見た目
動詞,自立,*,*,五段・ワ行促音便,未然形,逢う,アワ,アワ	合わ
動詞,自立,*,*,五段・ラ行,連用タ接続,贈る,オクッ,オクッ	あげ
形容詞,自立,*,*,形容詞・アウオ段,基本形,上手い,ウマイ,ウマイ	うまい
形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,無い,ナカッ,ナカッ	なかっ
名詞,一般,*,*,*,*,基準,キジュン,キジュン	基本
動詞,自立,*,*,一段,連用形,かくれる,カクレ,カクレ	入っ
動詞,自立,*,*,一段,連用形,通り抜ける,トオリヌケ,トーリヌケ	通っ
名詞,一般,*,*,*,*,申し入れ,モウシイレ,モーシイレ	話
名詞,一般,*,*,*,*,モール,モール,モール	店
名詞,副詞可能,*,*,*,*,晩,バン,バン	夜
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,良い,ヨク,ヨク	よく
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,おそい,オソク,オソク	遅く
動詞,自立,*,*,五段・ラ行,連用形,亡くなる,ナクナリ,ナクナリ	死に
副詞,助詞類接続,*,*,*,*,いずれ,イズレ,イズレ	そのうち
名詞,一般,*,*,*,*,マンガ,マンガ,マンガ	漫画
動詞,自立,*,*,一段,連用形,ぶつける,ブツケ,ブツケ	打っ
名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ	劇
名詞,一般,*,*,*,*,群衆,グンシュウ,グンシュー	集団
動詞,自立,*,*,五段・ラ行,基本形,立ち上る,タチノボル,タチノボル	立つ
副詞,一般,*,*,*,*,じきに,ジキニ,ジキニ	後に
動詞,自立,*,*,五段・マ行,未然形,はさむ,ハサマ,ハサマ	挟ま
動詞,自立,*,*,五段・ラ行,基本形,曲がる,マガル,マガル	行く
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,快い,ココロヨク,ココロヨク	気持ちよく
動詞,自立,*,*,五段・ラ行,基本形,すわる,スワル,スワル	座る
動詞,自立,*,*,一段,未然形,捧げる,ササゲ,ササゲ	あげ
名詞,サ変接続,*,*,*,*,考慮,コウリョ,コーリョ	考え
名詞,一般,*,*,*,*,度胸,ドキョウ,ドキョー	勇気
動詞,自立,*,*,五段・ラ行,連用タ接続,まとまる,マトマッ,マトマッ	つい
動詞,自立,*,*,五段・サ行,基本形,こわす,コワス,コワス	壊す
名詞,一般,*,*,*,*,いす,イス,イス	物
動詞,自立,*,*,一段,連用形,敗れる,ヤブレ,ヤブレ	負け
名詞,一般,*,*,*,*,運賃,ウンチン,ウンチン	お金
名詞,接尾,一般,*,*,*,先,サキ,サキ	向こう
名詞,一般,*,*,*,*,こ,コ,コ	個
副詞,助詞類接続,*,*,*,*,たった今,タッタイマ,タッタイマ	ちょうど
名詞,副詞可能,*,*,*,*,いっさい,イッサイ,イッサイ	全て
名詞,一般,*,*,*,*,道端,ミチバタ,ミチバタ	道
名詞,一般,*,*,*,*,湯,ユ,ユ	風呂
副詞,一般,*,*,*,*,たいそう,タイソウ,タイソー	とても
形容詞,自立,*,*,形容詞・アウオ段,基本形,狭い,セマイ,セマイ	小さい
動詞,自立,*,*,五段・タ行,連用タ接続,育つ,ソダッ,ソダッ	過ごし
名詞,一般,*,*,*,*,集まり,アツマリ,アツマリ	会
名詞,サ変接続,*,*,*,*,スタート,スタート,スタート	開始
名詞,一般,*,*,*,*,事業,ジギョウ,ジギョー	仕事
名詞,副詞可能,*,*,*,*,次回,ジカイ,ジカイ	次
名詞,一般,*,*,*,*,フレーズ,フレーズ,フレーズ	言葉
名詞,一般,*,*,*,*,動機,ドウキ,ドーキ	理由
名詞,一般,*,*,*,*,坊や,ボウヤ,ボーヤ	少年
名詞,一般,*,*,*,*,流感,リュウカン,リューカン	インフルエンザ
名詞,一般,*,*,*,*,食器,ショッキ,ショッキ	皿
名詞,形容動詞語幹,*,*,*,*,目障り,メザワリ,メザワリ	邪魔
動詞,自立,*,*,一段,基本形,買える,カエル,カエル	買う
名詞,一般,*,*,*,*,庭園,テイエン,テイエン	庭
名詞,一般,*,*,*,*,綴り,ツヅリ,ツズリ	文字
動詞,自立,*,*,五段・サ行,連用形,害す,ガイシ,ガイシ	壊し
名詞,サ変接続,*,*,*,*,適応,テキオウ,テキオー	対応
名詞,サ変接続,*,*,*,*,連想,レンソウ,レンソー	想像
動詞,自立,*,*,五段・ワ行促音便,未然形,負う,オワ,オワ	取ら
名詞,一般,*,*,*,*,一団,イチダン,イチダン	集団
動詞,自立,*,*,五段・ラ行,仮定形,眠る,ネムレ,ネムレ	寝れ
名詞,サ変接続,*,*,*,*,公表,コウヒョウ,コーヒョー	発表
動詞,自立,*,*,一段,未然形,叱りつける,シカリツケ,シカリツケ	怒ら
動詞,自立,*,*,五段・ラ行,連用タ接続,たまる,タマッ,タマッ	出
動詞,自立,*,*,五段・マ行,仮定形,やむ,ヤメ,ヤメ	止まれ
名詞,一般,*,*,*,*,わいろ,ワイロ,ワイロ	お金
名詞,一般,*,*,*,*,わき,ワキ,ワキ	横
動詞,自立,*,*,五段・ラ行,連用タ接続,終る,オワッ,オワッ	終わっ
動詞,自立,*,*,五段・ワ行促音便,基本形,知り合う,シリアウ,シリアウ	知る
名詞,一般,*,*,*,*,催し物,モヨオシモノ,モヨーシモノ	企画
動詞,自立,*,*,五段・ラ行,連用形,あがる,アガリ,アガリ	行き
名詞,サ変接続,*,*,*,*,サイン,サイン,サイン	名前
名詞,一般,*,*,*,*,果実,カジツ,カジツ	果物
名詞,サ変接続,*,*,*,*,言い訳,イイワケ,イーワケ	説明
名詞,一般,*,*,*,*,シングル,シングル,シングル	１つ
名詞,形容動詞語幹,*,*,*,*,ぼろぼろ,ボロボロ,ボロボロ	ダメ
動詞,自立,*,*,五段・カ行イ音便,連用形,頂く,イタダキ,イタダキ	もらい
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,やく,ヤイ,ヤイ	焼い
名詞,一般,*,*,*,*,ゲート,ゲート,ゲート	門
名詞,サ変接続,*,*,*,*,負傷,フショウ,フショー	怪我
動詞,自立,*,*,五段・マ行,連用タ接続,しずむ,シズン,シズン	沈ん
動詞,自立,*,*,五段・ラ行,連用形,つくる,ツクリ,ツクリ	作り
動詞,自立,*,*,一段,基本形,おきる,オキル,オキル	起きる
名詞,形容動詞語幹,*,*,*,*,本気,ホンキ,ホンキ	本当
名詞,形容動詞語幹,*,*,*,*,色々,イロイロ,イロイロ	いろいろ
動詞,自立,*,*,一段,基本形,たてる,タテル,タテル	出す
名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー	不思議
名詞,一般,*,*,*,*,食料,ショクリョウ,ショクリョー	食べ物
動詞,自立,*,*,五段・ラ行,連用タ接続,出来上がる,デキアガッ,デキアガッ	でき
名詞,形容動詞語幹,*,*,*,*,安らか,ヤスラカ,ヤスラカ	穏やか
動詞,自立,*,*,五段・ラ行,基本形,あたる,アタル,アタル	当たる
名詞,一般,*,*,*,*,ショー,ショー,ショー	劇
名詞,一般,*,*,*,*,富,トミ,トミ	金
動詞,自立,*,*,一段,連用形,つかれる,ツカレ,ツカレ	疲れ
動詞,自立,*,*,一段,連用形,すぐれる,スグレ,スグレ	勝っ
動詞,自立,*,*,五段・マ行,連用タ接続,飛び込む,トビコン,トビコン	跳ん
感動詞,*,*,*,*,*,ごめんなさい,ゴメンナサイ,ゴメンナサイ	すみません
名詞,一般,*,*,*,*,茶わん,チャワン,チャワン	皿
名詞,一般,*,*,*,*,売り上げ,ウリアゲ,ウリアゲ	利益
名詞,一般,*,*,*,*,あらし,アラシ,アラシ	嵐
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,救う,スクッ,スクッ	助け
動詞,自立,*,*,五段・ラ行,基本形,仕上がる,シアガル,シアガル	終わる
動詞,自立,*,*,五段・サ行,連用形,探し出す,サガシダシ,サガシダシ	見つけ
名詞,一般,*,*,*,*,値,ネ,ネ	価格
名詞,一般,*,*,*,*,日取り,ヒドリ,ヒドリ	予定
動詞,自立,*,*,五段・ラ行,未然ウ接続,立ち去る,タチサロ,タチサロ	帰ろ
動詞,自立,*,*,五段・ラ行,未然形,もどる,モドラ,モドラ	帰ら
動詞,自立,*,*,一段,未然ウ接続,ためる,タメヨ,タメヨ	持と
名詞,サ変接続,*,*,*,*,懇願,コンガン,コンガン	お願い
動詞,自立,*,*,五段・サ行,連用形,放り出す,ホウリダシ,ホーリダシ	出し
動詞,自立,*,*,五段・ワ行促音便,未然形,支払う,シハラワ,シハラワ	払わ
名詞,一般,*,*,*,*,すき,スキ,スキ	好き
動詞,自立,*,*,五段・ラ行,未然形,気にいる,キニイラ,キニイラ	気に入ら
動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ	やる
名詞,一般,*,*,*,*,ウイスキー,ウイスキー,ウイスキー	酒
動詞,自立,*,*,五段・ラ行,基本形,当てはまる,アテハマル,アテハマル	当たる
名詞,一般,*,*,*,*,原案,ゲンアン,ゲンアン	案
名詞,代名詞,一般,*,*,*,あいつ,アイツ,アイツ	彼
名詞,一般,*,*,*,*,級友,キュウユウ,キューユー	友達
動詞,自立,*,*,一段,連用形,かれる,カレ,カレ	なくなっ
動詞,自立,*,*,五段・ラ行,連用タ接続,召しあがる,メシアガッ,メシアガッ	食べ
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ありがたい,アリガタク,アリガタク	嬉しく
動詞,自立,*,*,五段・ラ行,連用タ接続,受けとる,ウケトッ,ウケトッ	受け
名詞,一般,*,*,*,*,めいめい,メイメイ,メイメイ	それぞれ
動詞,自立,*,*,五段・ラ行,連用形,塗る,ヌリ,ヌリ	し
名詞,一般,*,*,*,*,用事,ヨウジ,ヨージ	予定
動詞,自立,*,*,五段・ラ行,連用タ接続,すがる,スガッ,スガッ	頼っ
名詞,一般,*,*,*,*,身長,シンチョウ,シンチョー	背
動詞,自立,*,*,五段・ラ行,連用タ接続,創る,ツクッ,ツクッ	作っ
動詞,自立,*,*,一段,基本形,みせる,ミセル,ミセル	見せる
名詞,一般,*,*,*,*,小道,コミチ,コミチ	道
動詞,自立,*,*,一段,基本形,たずねる,タズネル,タズネル	訪ねる
動詞,自立,*,*,一段,未然形,暮れる,クレ,クレ	くれ
名詞,一般,*,*,*,*,癖,クセ,クセ	特徴
名詞,一般,*,*,*,*,親友,シンユウ,シンユー	友達
動詞,自立,*,*,五段・ラ行,連用タ接続,動き回る,ウゴキマワッ,ウゴキマワッ	動い
副詞,一般,*,*,*,*,是非とも,ゼヒトモ,ゼヒトモ	ぜひとも
名詞,一般,*,*,*,*,思いつき,オモイツキ,オモイツキ	考え
名詞,一般,*,*,*,*,許し,ユルシ,ユルシ	許可
名詞,一般,*,*,*,*,連中,レンチュウ,レンチュー	彼ら
動詞,自立,*,*,一段,基本形,いれる,イレル,イレル	入れる
名詞,接尾,一般,*,*,*,たち,タチ,タチ	性格
動詞,自立,*,*,五段・カ行イ音便,基本形,追い付く,オイツク,オイツク	追いつく
動詞,自立,*,*,一段,連用形,掛ける,カケ,カケ	座り
副詞,一般,*,*,*,*,かろうじて,カロウジテ,カロージテ	なんとか
名詞,一般,*,*,*,*,ルール,ルール,ルール	条件
動詞,自立,*,*,五段・ラ行,未然形,静まる,シズマラ,シズマラ	止まら
