動詞,自立,*,*,五段・サ行,未然形,滅ぼす,ホロボサ,ホロボサ	殺さ
動詞,自立,*,*,一段,未然形,着ける,ツケ,ツケ	着か
動詞,自立,*,*,一段,連用形,植える,ウエ,ウエ	おき
名詞,一般,*,*,*,*,版権,ハンケン,ハンケン	権利
動詞,自立,*,*,一段,基本形,終える,オエル,オエル	終わる
名詞,一般,*,*,*,*,半数,ハンスウ,ハンスー	半分
名詞,一般,*,*,*,*,一同,イチドウ,イチドー	全員
名詞,一般,*,*,*,*,上司,ジョウシ,ジョーシ	上
名詞,一般,*,*,*,*,こいつ,コイツ,コイツ	あなた
動詞,自立,*,*,五段・サ行,未然形,そらす,ソラサ,ソラサ	動かさ
名詞,サ変接続,*,*,*,*,出航,シュッコウ,シュッコー	出発
動詞,自立,*,*,五段・ラ行,基本形,忘れ去る,ワスレサル,ワスレサル	消す
動詞,自立,*,*,五段・ラ行,連用タ接続,言い張る,イイハッ,イーハッ	言っ
名詞,サ変接続,*,*,*,*,通報,ツウホウ,ツーホー	電話
動詞,自立,*,*,一段,連用形,にげる,ニゲ,ニゲ	逃げ
形容詞,自立,*,*,形容詞・イ段,基本形,怪しい,アヤシイ,アヤシイ	おかしい
動詞,自立,*,*,五段・ラ行,未然形,しる,シラ,シラ	知ら
名詞,サ変接続,*,*,*,*,まね,マネ,マネ	こと
名詞,サ変接続,*,*,*,*,取り引き,トリヒキ,トリヒキ	契約
動詞,自立,*,*,一段,連用形,追いかける,オイカケ,オイカケ	追っ
名詞,サ変接続,*,*,*,*,主張,シュチョウ,シュチョー	意見
名詞,一般,*,*,*,*,アヒル,アヒル,アヒル	鳥
名詞,一般,*,*,*,*,身なり,ミナリ,ミナリ	見た目
名詞,一般,*,*,*,*,年上,トシウエ,トシウエ	上
形容詞,自立,*,*,形容詞・イ段,基本形,若々しい,ワカワカシイ,ワカワカシイ	若い
名詞,非自立,一般,*,*,*,かた,カタ,カタ	人
名詞,副詞可能,*,*,*,*,今頃,イマゴロ,イマゴロ	今
動詞,自立,*,*,五段・サ行,連用形,著す,アラワシ,アラワシ	書い
動詞,自立,*,*,一段,連用形,みかける,ミカケ,ミカケ	見
名詞,一般,*,*,*,*,ソファー,ソファー,ソファー	椅子
感動詞,*,*,*,*,*,ねえ,ネエ,ネー	ねぇ
名詞,副詞可能,*,*,*,*,のち,ノチ,ノチ	あと
名詞,サ変接続,*,*,*,*,空想,クウソウ,クーソー	想像
名詞,サ変接続,*,*,*,*,予測,ヨソク,ヨソク	予想
形容詞,自立,*,*,形容詞・イ段,基本形,とぼしい,トボシイ,トボシイ	少ない
動詞,自立,*,*,一段,連用形,とめる,トメ,トメ	止め
名詞,サ変接続,*,*,*,*,お知らせ,オシラセ,オシラセ	報告
動詞,自立,*,*,一段,連用形,見合わせる,ミアワセ,ミアワセ	見
動詞,自立,*,*,五段・ワ行促音便,未然形,あらう,アラワ,アラワ	洗わ
動詞,自立,*,*,一段,基本形,おちる,オチル,オチル	落ちる
連体詞,*,*,*,*,*,ありとあらゆる,アリトアラユル,アリトアラユル	あらゆる
形容詞,自立,*,*,不変化型,基本形,かっこいい,カッコイイ,カッコイイ	いい
動詞,自立,*,*,一段,連用形,解ける,トケ,トケ	なくなっ
名詞,一般,*,*,*,*,オートバイ,オートバイ,オートバイ	バイク
動詞,自立,*,*,五段・ワ行促音便,基本形,似合う,ニアウ,ニアウ	合う
名詞,一般,*,*,*,*,種族,シュゾク,シュゾク	種
名詞,副詞可能,*,*,*,*,先週,センシュウ,センシュー	前
名詞,一般,*,*,*,*,両方,リョウホウ,リョーホー	どちら
動詞,自立,*,*,一段,連用形,わすれる,ワスレ,ワスレ	忘れ
動詞,自立,*,*,一段,連用形,推し進める,オシススメ,オシススメ	進め
動詞,自立,*,*,五段・ワ行促音便,未然形,あう,アワ,アワ	合わ
名詞,一般,*,*,*,*,面前,メンゼン,メンゼン	前
名詞,一般,*,*,*,*,びり,ビリ,ビリ	最後
副詞,助詞類接続,*,*,*,*,しょっちゅう,ショッチュウ,ショッチュー	いつも
名詞,サ変接続,*,*,*,*,始末,シマツ,シマツ	処理
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,手伝う,テツダッ,テツダッ	助け
連体詞,*,*,*,*,*,おなじ,オナジ,オナジ	同じ
名詞,一般,*,*,*,*,仲良し,ナカヨシ,ナカヨシ	友達
形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,辛抱強い,シンボウヅヨカッ,シンボーズヨカッ	我慢強かっ
名詞,一般,*,*,*,*,わがまま,ワガママ,ワガママ	自分勝手
名詞,一般,*,*,*,*,賃金,チンギン,チンギン	お金
名詞,一般,*,*,*,*,年下,トシシタ,トシシタ	下
動詞,自立,*,*,一段,連用形,揺れる,ユレ,ユレ	動い
名詞,一般,*,*,*,*,持ち物,モチモノ,モチモノ	もの
動詞,自立,*,*,五段・ラ行,連用形,こわがる,コワガリ,コワガリ	怖がり
名詞,サ変接続,*,*,*,*,競走,キョウソウ,キョーソー	競争
名詞,一般,*,*,*,*,アスピリン,アスピリン,アスピリン	薬
動詞,自立,*,*,五段・ラ行,連用タ接続,殴る,ナグッ,ナグッ	叩い
動詞,自立,*,*,五段・カ行イ音便,基本形,差し引く,サシヒク,サシヒク	引く
動詞,自立,*,*,五段・ラ行,連用形,しる,シリ,シリ	知り
動詞,自立,*,*,五段・ラ行,基本形,喋る,シャベル,シャベル	話す
名詞,形容動詞語幹,*,*,*,*,でたらめ,デタラメ,デタラメ	嘘
名詞,一般,*,*,*,*,給料,キュウリョウ,キューリョー	お金
名詞,一般,*,*,*,*,出,シュツ,シュツ	出身
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,間に合う,マニアッ,マニアッ	着い
名詞,一般,*,*,*,*,真水,マミズ,マミズ	水
名詞,接尾,助数詞,*,*,*,課,カ,カ	番
動詞,自立,*,*,五段・ワ行促音便,連用形,ちがう,チガイ,チガイ	異なり
名詞,一般,*,*,*,*,気力,キリョク,キリョク	元気
名詞,一般,*,*,*,*,緑色,リョクショク,リョクショク	緑
動詞,自立,*,*,五段・サ行,連用形,無くす,ナクシ,ナクシ	失っ
動詞,自立,*,*,一段,連用形,くたびれる,クタビレ,クタビレ	疲れ
名詞,一般,*,*,*,*,座席,ザセキ,ザセキ	席
名詞,一般,*,*,*,*,郵便受け,ユウビンウケ,ユービンウケ	郵便箱
動詞,自立,*,*,五段・ラ行,連用タ接続,歩き回る,アルキマワッ,アルキマワッ	歩い
動詞,自立,*,*,五段・サ行,未然形,おもいだす,オモイダサ,オモイダサ	思い出さ
形容詞,自立,*,*,形容詞・アウオ段,基本形,おそい,オソイ,オソイ	遅い
動詞,自立,*,*,一段,連用形,拾い上げる,ヒロイアゲ,ヒロイアゲ	取っ
動詞,自立,*,*,一段,未然形,生える,ハエ,ハエ	なら
動詞,自立,*,*,一段,基本形,生ける,イケル,イケル	飾る
名詞,一般,*,*,*,*,おとな,オトナ,オトナ	大人
名詞,一般,*,*,*,*,年寄り,トシヨリ,トシヨリ	老人
名詞,一般,*,*,*,*,関心,カンシン,カンシン	興味
名詞,サ変接続,*,*,*,*,流行,リュウコウ,リューコー	人気
形容詞,自立,*,*,形容詞・イ段,連用テ接続,さびしい,サビシク,サビシク	寂しく
副詞,一般,*,*,*,*,かねがね,カネガネ,カネガネ	ずっと
名詞,形容動詞語幹,*,*,*,*,大量,タイリョウ,タイリョー	多く
動詞,自立,*,*,五段・サ行,未然ウ接続,考え出す,カンガエダソ,カンガエダソ	考えよ
動詞,自立,*,*,五段・ラ行,基本形,受け取る,ウケトル,ウケトル	受ける
名詞,形容動詞語幹,*,*,*,*,盛ん,サカン,サカン	いっぱい
動詞,自立,*,*,一段,基本形,おぼれる,オボレル,オボレル	沈む
名詞,サ変接続,*,*,*,*,見物,ケンブツ,ケンブツ	観光
動詞,自立,*,*,一段,連用形,打ち付ける,ウチツケ,ウチツケ	当たっ
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,用心深い,ヨウジンブカク,ヨージンブカク	注意深く
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,誓う,チカッ,チカッ	言っ
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,素早い,スバヤク,スバヤク	早く
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,割く,サイ,サイ	作っ
動詞,自立,*,*,一段,連用形,投げる,ナゲ,ナゲ	やめ
動詞,自立,*,*,五段・ラ行,未然形,おさまる,オサマラ,オサマラ	終わら
動詞,自立,*,*,サ変・−スル,基本形,得する,トクスル,トクスル	得る
名詞,代名詞,一般,*,*,*,僕,ボク,ボク	私
名詞,一般,*,*,*,*,体つき,カラダツキ,カラダツキ	体
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ふりむく,フリムイ,フリムイ	見
名詞,一般,*,*,*,*,形態,ケイタイ,ケイタイ	形
動詞,自立,*,*,一段,連用形,やり遂げる,ヤリトゲ,ヤリトゲ	やっ
動詞,自立,*,*,五段・ワ行促音便,連用形,話し合う,ハナシアイ,ハナシアイ	話し
名詞,一般,*,*,*,*,翌週,ヨクシュウ,ヨクシュー	来週
名詞,サ変接続,*,*,*,*,洋行,ヨウコウ,ヨーコー	旅行
副詞,一般,*,*,*,*,ちっとも,チットモ,チットモ	全く
副詞,一般,*,*,*,*,とっくに,トックニ,トックニ	すでに
名詞,一般,*,*,*,*,表紙,ヒョウシ,ヒョーシ	表
名詞,一般,*,*,*,*,先輩,センパイ,センパイ	上司
動詞,自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ	開か
名詞,一般,*,*,*,*,メロディー,メロディー,メロディー	音楽
名詞,一般,*,*,*,*,語い,ゴイ,ゴイ	話
動詞,自立,*,*,五段・ラ行,基本形,書き取る,カキトル,カキトル	書く
名詞,一般,*,*,*,*,別物,ベツモノ,ベツモノ	別
動詞,自立,*,*,五段・ラ行,未然形,眠る,ネムラ,ネムラ	寝
動詞,自立,*,*,五段・サ行,連用形,没す,ボッシ,ボッシ	落ち
名詞,サ変接続,*,*,*,*,冒険,ボウケン,ボーケン	旅
名詞,一般,*,*,*,*,模範,モハン,モハン	例
副詞,助詞類接続,*,*,*,*,きっちり,キッチリ,キッチリ	ちょうど
名詞,サ変接続,*,*,*,*,分別,フンベツ,フンベツ	判断
名詞,一般,*,*,*,*,外見,ガイケン,ガイケン	見た目
形容詞,自立,*,*,形容詞・アウオ段,基本形,用心深い,ヨウジンブカイ,ヨージンブカイ	注意深い
名詞,一般,*,*,*,*,起源,キゲン,キゲン	元
名詞,一般,*,*,*,*,書店,ショテン,ショテン	本の店
副詞,一般,*,*,*,*,しきりに,シキリニ,シキリニ	ずっと
形容詞,自立,*,*,形容詞・アウオ段,基本形,よい,ヨイ,ヨイ	いい
動詞,自立,*,*,五段・ラ行,基本形,横切る,ヨコギル,ヨコギル	渡る
名詞,形容動詞語幹,*,*,*,*,重大,ジュウダイ,ジューダイ	大変
動詞,自立,*,*,一段,未然形,曲げる,マゲ,マゲ	変え
名詞,一般,*,*,*,*,知り合い,シリアイ,シリアイ	友達
名詞,固有名詞,地域,国,*,*,英国,エイコク,エイコク	イギリス
名詞,一般,*,*,*,*,ピアニスト,ピアニスト,ピアニスト	ピアノ
名詞,形容動詞語幹,*,*,*,*,手近,テヂカ,テジカ	近く
動詞,自立,*,*,五段・ラ行特殊,基本形,いらっしゃる,イラッシャル,イラッシャル	いる
動詞,自立,*,*,一段,連用形,控える,ヒカエ,ヒカエ	やめ
名詞,一般,*,*,*,*,誉れ,ホマレ,ホマレ	自慢
動詞,自立,*,*,一段,基本形,見掛ける,ミカケル,ミカケル	見る
動詞,自立,*,*,五段・サ行,連用形,引き返す,ヒキカエシ,ヒキカエシ	戻り
名詞,一般,*,*,*,*,ボーイ,ボーイ,ボーイ	少年
名詞,形容動詞語幹,*,*,*,*,大好き,ダイスキ,ダイスキ	好き
動詞,自立,*,*,五段・ワ行促音便,連用形,助け合う,タスケアイ,タスケアイ	助け
動詞,自立,*,*,五段・マ行,連用タ接続,すすむ,ススン,ススン	進ん
名詞,一般,*,*,*,*,間隔,カンカク,カンカク	間
名詞,一般,*,*,*,*,顔色,カオイロ,カオイロ	具合
副詞,一般,*,*,*,*,暫く,シバラク,シバラク	しばらく
名詞,形容動詞語幹,*,*,*,*,快活,カイカツ,カイカツ	元気
動詞,自立,*,*,五段・サ行,連用形,送り返す,オクリカエシ,オクリカエシ	送っ
動詞,自立,*,*,五段・ラ行,基本形,無くなる,ナクナル,ナクナル	失う
名詞,一般,*,*,*,*,後回し,アトマワシ,アトマワシ	後
動詞,自立,*,*,五段・サ行,連用形,脱す,ダッシ,ダッシ	避け
動詞,自立,*,*,五段・ラ行,基本形,やぶる,ヤブル,ヤブル	破る
名詞,一般,*,*,*,*,返信,ヘンシン,ヘンシン	返事
名詞,サ変接続,*,*,*,*,入院,ニュウイン,ニューイン	滞在
接続詞,*,*,*,*,*,いえ,イエ,イエ	いや
動詞,自立,*,*,五段・ラ行,連用タ接続,まいる,マイッ,マイッ	困っ
名詞,一般,*,*,*,*,雑魚,ジャコ,ジャコ	魚
動詞,自立,*,*,五段・サ行,未然形,だます,ダマサ,ダマサ	とら
動詞,自立,*,*,五段・ラ行,連用形,祈る,イノリ,イノリ	願い
名詞,一般,*,*,*,*,釣,ツリ,ツリ	釣り
動詞,自立,*,*,五段・ラ行,未然形,買い取る,カイトラ,カイトラ	買わ
動詞,自立,*,*,一段,未然形,知れる,シレ,シレ	しれ
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,だく,ダイ,ダイ	抱い
名詞,サ変接続,*,*,*,*,確信,カクシン,カクシン	自信
名詞,一般,*,*,*,*,真相,シンソウ,シンソー	事実
名詞,一般,*,*,*,*,純金,ジュンキン,ジュンキン	金
形容詞,自立,*,*,形容詞・イ段,連用タ接続,よろしい,ヨロシカッ,ヨロシカッ	よかっ
名詞,一般,*,*,*,*,此処,ココ,ココ	ここ
副詞,一般,*,*,*,*,なお,ナオ,ナオ	さらに
名詞,一般,*,*,*,*,何者,ナニモノ,ナニモノ	誰
動詞,自立,*,*,五段・サ行,仮定形,下ろす,オロセ,オロセ	おけ
動詞,自立,*,*,一段,連用形,はじめる,ハジメ,ハジメ	始め
名詞,副詞可能,*,*,*,*,ひところ,ヒトコロ,ヒトコロ	昔
動詞,自立,*,*,五段・ワ行促音便,連用形,間に合う,マニアイ,マニアイ	いい
名詞,一般,*,*,*,*,同志,ドウシ,ドーシ	仲間
動詞,自立,*,*,五段・サ行,連用形,転ばす,コロバシ,コロバシ	させ
名詞,一般,*,*,*,*,身振り,ミブリ,ミブリ	行動
動詞,自立,*,*,五段・タ行,連用形,たつ,タチ,タチ	行き
動詞,自立,*,*,五段・ワ行促音便,連用形,出会う,デアイ,デアイ	会い
名詞,一般,*,*,*,*,口先,クチサキ,クチサキ	口
形容詞,自立,*,*,形容詞・アウオ段,基本形,かゆい,カユイ,カユイ	痒い
名詞,一般,*,*,*,*,ばら,バラ,バラ	花
名詞,一般,*,*,*,*,荷,ニ,ニ	責任
動詞,自立,*,*,一段,連用形,手掛ける,テガケ,テガケ	し
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,きつい,キツク,キツク	小さく
名詞,形容動詞語幹,*,*,*,*,密か,ヒソカ,ヒソカ	静か
名詞,一般,*,*,*,*,デスク,デスク,デスク	机
動詞,自立,*,*,五段・カ行イ音便,命令ｅ,置く,オケ,オケ	おけ
名詞,一般,*,*,*,*,務め,ツトメ,ツトメ	仕事
名詞,サ変接続,*,*,*,*,贈り物,オクリモノ,オクリモノ	プレゼント
動詞,自立,*,*,五段・サ行,連用形,送りだす,オクリダシ,オクリダシ	送っ
名詞,一般,*,*,*,*,ぶどう酒,ブドウシュ,ブドーシュ	酒
動詞,自立,*,*,一段,連用形,かき集める,カキアツメ,カキアツメ	集め
名詞,一般,*,*,*,*,季節,キセツ,キセツ	時期
名詞,一般,*,*,*,*,内,ウチ,ウチ	中
動詞,自立,*,*,五段・ラ行,基本形,走り回る,ハシリマワル,ハシリマワル	走る
動詞,自立,*,*,一段,連用形,でっちあげる,デッチアゲ,デッチアゲ	作っ
動詞,自立,*,*,五段・ラ行,連用タ接続,こまる,コマッ,コマッ	困っ
名詞,副詞可能,*,*,*,*,空路,クウロ,クーロ	飛行機
名詞,一般,*,*,*,*,しっぽ,シッポ,シッポ	尾
動詞,自立,*,*,五段・サ行,連用形,溶かす,トカシ,トカシ	消し
名詞,サ変接続,*,*,*,*,覚悟,カクゴ,カクゴ	気持ち
動詞,自立,*,*,一段,連用形,おちる,オチ,オチ	落ち
動詞,自立,*,*,一段,基本形,とらえる,トラエル,トラエル	取る
動詞,自立,*,*,五段・マ行,未然形,のむ,ノマ,ノマ	飲ま
名詞,一般,*,*,*,*,音量,オンリョウ,オンリョー	音
名詞,形容動詞語幹,*,*,*,*,もっとも,モットモ,モットモ	普通
動詞,自立,*,*,一段,基本形,留める,トメル,トメル	する
名詞,サ変接続,*,*,*,*,骨折,コッセツ,コッセツ	怪我
名詞,一般,*,*,*,*,薔薇,バラ,バラ	花
動詞,自立,*,*,五段・サ行,連用形,延ばす,ノバシ,ノバシ	し
動詞,自立,*,*,五段・カ行イ音便,命令ｅ,点く,ツケ,ツケ	見
名詞,一般,*,*,*,*,出入り口,デイリグチ,デイリグチ	ドア
名詞,一般,*,*,*,*,出会い,デアイ,デアイ	関係
名詞,サ変接続,*,*,*,*,アルバイト,アルバイト,アルバイト	仕事
動詞,自立,*,*,五段・ラ行,連用タ接続,名乗る,ナノッ,ナノッ	言っ
動詞,自立,*,*,五段・ラ行,基本形,見つかる,ミツカル,ミツカル	ある
動詞,自立,*,*,五段・サ行,連用形,おろす,オロシ,オロシ	出し
名詞,サ変接続,*,*,*,*,移植,イショク,イショク	移動
副詞,助詞類接続,*,*,*,*,始終,シジュウ,シジュー	ずっと
形容詞,自立,*,*,形容詞・イ段,基本形,きびしい,キビシイ,キビシイ	厳しい
名詞,一般,*,*,*,*,小鳥,コトリ,コトリ	鳥
名詞,形容動詞語幹,*,*,*,*,オーバー,オーバー,オーバー	服
副詞,一般,*,*,*,*,あながち,アナガチ,アナガチ	それほど
名詞,非自立,副詞可能,*,*,*,末,スエ,スエ	結果
動詞,自立,*,*,一段,基本形,使いこなせる,ツカイコナセル,ツカイコナセル	使える
動詞,自立,*,*,五段・ラ行,連用タ接続,わたる,ワタッ,ワタッ	渡っ
形容詞,自立,*,*,形容詞・アウオ段,文語基本形,よい,ヨシ,ヨシ	よい
動詞,自立,*,*,五段・ラ行,基本形,立ち止まる,タチドマル,タチドマル	止まる
名詞,サ変接続,*,*,*,*,あいさつ,アイサツ,アイサツ	挨拶
名詞,一般,*,*,*,*,サラダ,サラダ,サラダ	野菜
動詞,自立,*,*,五段・ナ行,連用タ接続,焼け死ぬ,ヤケシン,ヤケシン	死ん
動詞,自立,*,*,一段,基本形,架ける,カケル,カケル	作る
名詞,サ変接続,*,*,*,*,愛着,アイチャク,アイチャク	愛
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,めんくらう,メンクラッ,メンクラッ	驚い
動詞,自立,*,*,一段,未然形,みかける,ミカケ,ミカケ	み
動詞,自立,*,*,五段・サ行,連用形,吹き出す,フキダシ,フキダシ	笑っ
動詞,自立,*,*,五段・サ行,未然形,呼び出す,ヨビダサ,ヨビダサ	呼ば
名詞,一般,*,*,*,*,裏口,ウラグチ,ウラグチ	裏
名詞,サ変接続,*,*,*,*,訓練,クンレン,クンレン	練習
名詞,一般,*,*,*,*,戸棚,トダナ,トダナ	棚
動詞,自立,*,*,五段・ラ行,連用形,下がる,サガリ,サガリ	落ち
名詞,一般,*,*,*,*,ワイン,ワイン,ワイン	酒
動詞,自立,*,*,一段,未然形,あたえる,アタエ,アタエ	与え
形容詞,自立,*,*,形容詞・アウオ段,基本形,あくどい,アクドイ,アクドイ	悪い
名詞,一般,*,*,*,*,チェス,チェス,チェス	ゲーム
名詞,一般,*,*,*,*,グラス,グラス,グラス	コップ
名詞,サ変接続,*,*,*,*,策略,サクリャク,サクリャク	考え
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,すれ違う,スレチガッ,スレチガッ	会っ
名詞,一般,*,*,*,*,ファッション,ファッション,ファッション	服
名詞,サ変接続,*,*,*,*,指図,サシズ,サシズ	命令
動詞,自立,*,*,五段・ラ行,基本形,留まる,トマル,トマル	残る
動詞,自立,*,*,五段・ワ行促音便,連用形,習う,ナライ,ナライ	学び
名詞,一般,*,*,*,*,ガウン,ガウン,ガウン	服
動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ	行っ
名詞,接尾,助数詞,*,*,*,か月,カゲツ,カゲツ	ヶ月
名詞,一般,*,*,*,*,あるじ,アルジ,アルジ	主人
名詞,一般,*,*,*,*,幼年,ヨウネン,ヨーネン	子供
動詞,自立,*,*,五段・ワ行促音便,基本形,助け合う,タスケアウ,タスケアウ	助ける
動詞,自立,*,*,五段・ラ行,連用形,立ち上がる,タチアガリ,タチアガリ	立ち
名詞,サ変接続,*,*,*,*,リクエスト,リクエスト,リクエスト	要求
動詞,自立,*,*,五段・マ行,未然ウ接続,申し込む,モウシコモ,モーシコモ	頼も
動詞,自立,*,*,一段,基本形,演じる,エンジル,エンジル	する
動詞,自立,*,*,一段,基本形,逃れる,ノガレル,ノガレル	逃げる
名詞,サ変接続,*,*,*,*,学問,ガクモン,ガクモン	勉強
名詞,形容動詞語幹,*,*,*,*,気がかり,キガカリ,キガカリ	心配
名詞,一般,*,*,*,*,チョコ,チョコ,チョコ	チョコレート
動詞,自立,*,*,五段・ラ行,連用形,見つかる,ミツカリ,ミツカリ	あり
動詞,自立,*,*,五段・ラ行,連用形,さぼる,サボリ,サボリ	休み
名詞,サ変接続,*,*,*,*,一服,イップク,イップク	１つ
動詞,自立,*,*,五段・マ行,基本形,はさむ,ハサム,ハサム	出す
名詞,一般,*,*,*,*,学者,ガクシャ,ガクシャ	人
名詞,サ変接続,*,*,*,*,上映,ジョウエイ,ジョーエイ	映画
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,誘う,サソッ,サソッ	言っ
名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト	事
名詞,一般,*,*,*,*,国籍,コクセキ,コクセキ	国
名詞,形容動詞語幹,*,*,*,*,素直,スナオ,スナオ	正直
名詞,形容動詞語幹,*,*,*,*,平気,ヘイキ,ヘイキ	大丈夫
名詞,非自立,一般,*,*,*,とき,トキ,トキ	時
名詞,一般,*,*,*,*,巣,ス,ス	家
名詞,一般,*,*,*,*,理科,リカ,リカ	科学
名詞,一般,*,*,*,*,戸外,コガイ,コガイ	外
動詞,自立,*,*,五段・カ行イ音便,未然形,つく,ツカ,ツカ	行か
動詞,自立,*,*,五段・タ行,連用タ接続,なげうつ,ナゲウッ,ナゲウッ	捨て
動詞,自立,*,*,五段・ラ行,連用タ接続,見張る,ミハッ,ミハッ	見
動詞,自立,*,*,五段・ラ行,未然形,さえぎる,サエギラ,サエギラ	止め
動詞,自立,*,*,五段・タ行,連用形,いらだつ,イラダチ,イラダチ	怒り
